"Eintrag";"Quelle";"Seite";"Amt";"Hofherr";"Laufnr";"Name";"Dienstbeginn";"Abraitung";"Erstaufnahme";"Quellenkommentar";"Bearbeiterkommentar";"Anmerkung";"Sort";"F41"
"1";"SR 186";"1r";"OHM";"F3";"1";"Christoph Simon Freiherr von Thun zu Roggen und Caldes";"1619";"1635-03-27";"mh";;;;"1619";"10002"
"2";"SR 186";"1r";"OHM";"JC";"0";"Christoph Simon Freiherr von Thun zu Roggen und Caldes";;"1619";"mh";;;;"1618";"10002"
"3";"SR 186";"1v";"GR";"F3";"2a";"Max Reichsgraf von Trauttmansdorff";"1635-04-01";"1650-06-07";"mh";;;;;"10003"
"4";"SR 186";"1r";"OHM";"F3";"2";"Max Reichsgraf von Trauttmansdorff";"1635-04-01";"1650-06-07";"mh";;;;;"10003"
"5";"SR 186";"1r";"GR";"F3";"3a";"Max Reichsfürst von Dietrichstein zu Nikolsburg";"1651-03-05";"1655-11-01";"kw";;;;;"10021"
"6";"SR 186";"1v";"OHM";"F3";"3";"Max Reichsfürst von Dietrichstein zu Nikolsburg";"1651-03-05";"1655-11-01";"mh";;;;;"10021"
"7";"SR 186";"2r";"GR";"F3";"4a";"Johann Waikhardt von Reichsfürst von Auersperg";"1655-12-01";"1657-06-30";"kw";;;;;"10004"
"8";"SR 186";"2r";"OHM";"F3";"4";"Johann Waikhardt von Reichsfürst von Auersperg";"1655-12-01";"1657-06-30";"mh";;;;;"10004"
"9";"SR 186";"2v";"GR";"F3";"1";"Christoph Simon Freiherr von Thun";"1628-01-01";;"kw";;;;"1628";"10002"
"10";"SR 186";"2v";"GR";"F3";"2";"Seyfried Christoph Preiner";"1637-03-24";"1651-08-22";"kw";;;"Sterbevermerk";;"10009"
"11";"SR 186";"2v";"GR";"F3";"3";"Antonius Bischoff zu Wienn";"1637-04-02";;"kw";;;;;"10022"
"12";"SR 186";"2v";"GR";"F3";"4";"Don Balthasar Maradas";"1637-04-02";;"kw";;;;;"10016"
"13";"SR 186";"3r";"GR";"F3";"5";"Leonhardt Helfridt Graf von Meckhau";"1637-04-02";;"mh";;;;;"10024"
"14";"SR 186";"3r";"GR";"F3";"6";"Wolfgang Graf von Mansfeldt";"1637-04-02";;"mh";;;;;"10026"
"15";"SR 186";"3r";"GR";"F3";"7";"Peter Heinrich von Strallendorff";"1637-04-02";"1637-10-18";"mh";;;;;"10037"
"16";"SR 186";"3r";"GR";"F3";"8";"Wilhelm Graf Slabata";"1637-04-02";"1652-01-19";"mh";;;;;"10023"
"17";"SR 186";"3r";"GR";"F3";"9";"Heinrich Graf Schlickh zu Passan";"1637-04-02";"1649-12-31";"mh";;;;;"10049"
"18";"SR 186";"3v";"GR";"F3";"10";"Franz Christoph Khevenhiller Graf zu Frankenburg";"1637-04-02";"1650-06-12";"mh";;;;;"10047"
"19";"SR 186";"3v";"GR";"F3";"11";"Rudolf Freiherr von Tieffenpach";"1637-04-04";;"mh";;;;;"10046"
"20";"SR 186";"3v";"GR";"F3";"12";"Julius Graf von Mersperg";"1637-05-01";;"mh";;;;;"10039"
"21";"SR 186";"3v";"GR";"F3";"13";"Sigismund Ludwig Graf von Dietrichstein auf Hollenburg";"1637-05-01";;"mh";;;;;"10005"
"22";"SR 186";"4r";"GR";"F3";"14";"Adam Graf von Waldtstain";"1637-06-01";"1638-08-24";"mh";;;;;"10041"
"23";"SR 186";"4r";"GR";"F3";"15";"Gundacker Fürst von Liechtenstein";"1637-09-01";;"mh";;;;;"10053"
"24";"SR 186";"4r";"GR";"F3";"16";"Georg Adam Graf von Marteniz";"1638-06-14";"1651-11-12";"mh";;;;;"10121"
"25";"SR 186";"4r";"GR";"F3";"17";"Matthias Graf von Gallas";"1639-12-01";;"mh";;;;;"10043"
"26";"SR 186";"4v";"GR";"F3";"18";"Johann Freiherr von Reckh";"1640-07-01";;"mh";;;;;"10044"
"27";"SR 186";"4v";"GR";"F3";"19";"Ferdinand Sigismund Graf Khurz";"1640-07-01";;"mh";;;;;"10011"
"28";"SR 186";"4v";"GR";"F3";"20";"Ulrich Franz Graf von Kolobrath";"1644-08-08";;"mh";;;;;"10122"
"29";"SR 186";"5r";"GR";"F3";"21";"Johann Franz Trautssohn Graf zu Falckhenstein";"1644-10-10";;"mh";;;;;"10048"
"30";"SR 186";"5r";"GR";"F3";"22";"Johann Rudolf Graf zu Puechheimb";"1645-01-01";;"mh";;;;;"10076"
"31";"SR 186";"5r";"GR";"F3";"23";"Wenzl Eusebius Fürst von Lobkhoviz";"1647-01-22";;"mh";;;;;"10058"
"32";"SR 186";"5r";"GR";"F3";"24";"Maximilian Graf von Waldtstain";"1647-08-08";"1655-02-19";"kw";;;;;"10031"
"33";"SR 186";"5v";"GR";"F3";"25";"Ernst Graf von Öttingen";"1649-12-01";;"mh";;;;;"10019"
"34";"SR 186";"5v";"GR";"F3";"26";"Hans Christoph Graf von Puechhaimb";"1653-07-07";;"mh";;;;;"10077"
"35";"SR 186";"5v";"GR";"F3";"27";"Georg Achas Graf und Herr von Losenstein";"1653-07-07";"1653-11-25";"mh";;;"Sterbevermerk";;"10093"
"36";"SR 186";"5v";"GR";"F3";"28";"David Ungnadt Graf von Weißenwolff";"1653-07-07";;"mh";;;;;"10165"
"38";"SR 186";"6r";"GR";"F3";"29";"Johann Adolf Graf von Schwarzenberg";"1653-08-02";;"mh";;;;;"10045"
"39";"SR 186";"6r";"GR";"F3";"30";"Johann Graf von Rothall";"1653-09-09";;"mh";;;;;"10124"
"40";"SR 186";"6r";"GR";"F3";"31";"Anibal Fürst von Gonzaga";"1654-06-26";;"mh";;;;;"10078"
"41";"SR 186";"6r";"GR";"F3";"32";"Johann Hetwig Graf Nostiz";"1654-07-27";;"mh";;;;;"10095"
"42";"SR 186";"6r";"GR";"F3";"33";"Philipp Graf von Mansfeldt";"1655-02-27";;"mh";;;;;"10146"
"43";"SR 186";"6v";"GR";"F3";"34";"Walter Graf Lesle";"1655-07-02";;"mh";;;;;"10027"
"44";"SR 186";"6v";"GR";"F3";"35";"Friedrich Graf von Caveriani";"1655-08-04";;"mh";;;;;"10169"
"45";"SR 186";"6v";"GR";"F3";"36";"Heinrich Wilhelmb Graf von Starnberg";"1656-01-12";;"mh";;;;;"10091"
"46";"SR 186";"6v";"GR";"F3";"37";"Ferdinand Friedrich Graf von Fürstenberg";"1656-01-13";;"mh";;;;;"10168"
"47";"SR 186";"6v";"GR";"F3";"38";"Ferdinand Graf von Portia und Brugnera";"1656-07-02";;"mh";;;;;"10083"
"48";"SR 186";"7v";"OTs";"F3";"1";"Georg Manriquez Graf von Tessio";"1637-04-24";"1639-05-05";"mh";;;;;"10155"
"50";"SR 186";"7v";"OTs";"F3";"2";"Johann Arbogast Graf von Thun";"1639-09-22";"1640-06-19";"mh";;;;;"10148"
"52";"SR 186";"7v";"OTs";"F3";"3";"Maximilian Ernst Burggraf von Thonau";"1640-09-23";;"mh";;;"Sterbevermerk";;"10167"
"53";"SR 186";"8r";"OTs";"F3";"4";"Jarislav von Hasenburg";"1641-12-09";"1649-07-31";"mh";;;;;"10140"
"55";"SR 186";"8r";"OTs";"F3";"5";"Michael Waywoda";"1649-09-25";;"mh";;;;;"10171"
"56";"SR 186";"8r";"OTs";"F3";"6";"Ferdinand Victor Teuffl";"1656-04-19";;"mh";;;;;"10172"
"58";"SR 186";"8v";"Ms";"F3";"1";"Ulrich Franz Freiherr von Collobrath";"1628-11-01";"1629-01-15";"mh";;;;;"10122"
"60";"SR 186";"8v";"Ms";"F3";"2";"Georg Manrique Graf Conte Tessio";"1633-05-17";"1637-04-24";"mh";;;;;"10155"
"61";"SR 186";"8v";"Ms";"F3";"3";"Don Diego Quiroga";"1635-05-01";;"mh";;;;;"10152"
"63";"SR 186";"8v";"Ms";"F3";"4";"Peter Graf von Serin";"1636-03-26";"1646-09-29";"mh";;;;;"10174"
"64";"SR 186";"9r";"Ms";"F3";"5";"Georg Achaz Höchenfeldter";"1636-11-04";;"mh";;;"abweichender Vorname als Irrtum des Schreibers anzusehen";;"10151"
"66";"SR 186";"9r";"Ms";"F3";"6";"Bernhard Graf von Marteniz";"1636-12-15";"1637-04-20";"mh";;;;;"10176"
"68";"SR 186";"9r";"Ms";"F3";"7";"Carl Gonzaga Markgraf";"1637-05-17";"1640-07-30";"mh";;;;;"10125"
"69";"SR 186";"9r";"Ms";"F3";"8";"Stefan von Pilza Korizinsckhy";"1637-08-01";;"mh";;;;;"10179"
"71";"SR 186";"9r";"Ms";"F3";"9";"Max Ernst Burggraf zu Thonau";"1636-03-13";"1640-09-23";"mh";;;;;"10167"
"72";"SR 186";"9v";"Ms";"F3";"10";"Georg Augustin Khenvenhiller Freiherr";"1637-08-01";"1647-06-10";"mh";;;;;"10181"
"74";"SR 186";"9v";"Ms";"F3";"11";"Franz Wilhelm von Tallenberg";"1639-02-15";"1639-09-22";"mh";;;;;"10182"
"76";"SR 186";"9v";"Ms";"F3";"12";"Michael Alvernia Marquez de Clavesana";"1639-02-25";"1652-05-30";"mh";;;"zu korrigieren auf 25. Januar 1639";;"10183"
"78";"SR 186";"9v";"Ms";"F3";"13";"Christoph Simon Graf von Thun";"1639-06-11";;"mh";;;;;"10025"
"79";"SR 186";"10r";"Ms";"F3";"14";"Jarislav von Hasenburg";"1639-10-01";"1641-12-09";"mh";;;;;"10140"
"81";"SR 186";"10r";"Ms";"F3";"15";"Francesco de Bonacossi";"1639-10-01";;"mh";;;;;"10184"
"82";"SR 186";"10r";"Ms";"F3";"16";"Michael Waywoda";"1639-12-01";"1649-09-25";"mh";;;;;"10171"
"84";"SR 186";"10r";"Ms";"F3";"17";"Franz Ernst von Molart Freiherr";"1640-06-20";"1644-05-23";"mh";;;;;"10186"
"86";"SR 186";"10v";"Ms";"F3";"18";"Albrecht von Zünzendorff Freiherr";"1640-10-03";"1640-12-15";"mh";;;;;"10164"
"88";"SR 186";"10v";"Ms";"F3";"19";"Karl Gottfried Breiner";"1640-12-12";"1642-05-11";"mh";;;;;"10187"
"90";"SR 186";"10v";"Ms";"F3";"20";"Max Graf von Marteniz";"1641-09-03";"1642-10-15";"mh";;;;;"10180"
"92";"SR 186";"10v";"Ms";"F3";"21";"Johann Ambrosius Graf von Thurn";"1642-04-02";"1644-08-28";"mh";;;;;"10185"
"94";"SR 186";"11r";"Ms";"F3";"22";"Ferdinand Ernst Graf von Waldstein";"1643-02-19";"1643-05-24";"mh";;;;;"10061"
"96";"SR 186";"11r";"Ms";"F3";"23";"Johann Sebastian von Halwail";"1643-12-03";"1650-02-18";"mh";;;;;"19840"
"98";"SR 186";"11r";"Ms";"F3";"24";"Joseph Conte Rabatta";"1644-11-06";;"mh";;;;;"10189"
"99";"SR 186";"11r";"Ms";"F3";"25";"Georg Stenkho Wratislav von Mitrowiz";"1644-12-09";;"mh";;;;;"10191"
"100";"SR 186";"11v";"Ms";"F3";"26";"Leo Wilhelm Graf von Khauniz";"1646-03-29";"1648-11-08";"mh";;;;;"10192"
"102";"SR 186";"11v";"Ms";"F3";"27";"Carl Ferdinand Graf von Waldstain";"1646-10-15";;"mh";;;;;"10066"
"103";"SR 186";"11v";"Ms";"F3";"28";"Franz Graf Forgatsch";"1646-10-21";;"mh";;;;;"10195"
"104";"SR 186";"11v";"Ms";"F3";"29";"Wolfgang Graf Artedi";"1646-11-27";;"mh";;;;;"10201"
"105";"SR 186";"12r";"Ms";"F3";"30";"Emerich Palasy Freiherr";"1646-12-22";"1649-04-20";"mh";;;;;"10205"
"107";"SR 186";"12r";"Ms";"F3";"31";"Adam Hersohn Freiherr von Harras";"1647-02-22";;"mh";;;;;"10207"
"108";"SR 186";"12r";"Ms";"F3";"32";"Adolf Graf von Wagensberg";"1647-06-14";"1648-08-28";"mh";;;;;"10208"
"110";"SR 186";"12r";"Ms";"F3";"33";"Adolf Graf von Cronaberg";"1647-07-14";;"mh";;;;;"10324"
"111";"SR 186";"12v";"Ms";"F3";"34";"Johann Sigmund von Gerstorff";"1648-05-25";;"mh";;;;;"10486"
"112";"SR 186";"12v";"Ms";"F3";"35";"Rudolf Graf von Khauniz";"1646-03-25";;"mh";;;;;"10455"
"113";"SR 186";"12v";"Ms";"F3";"36";"Bartlme Graf von Marades";"1646-03-26";;"mh";;;;;"10491"
"114";"SR 186";"12v";"Ms";"F3";"37";"Claudius Graf Collalto";"1646-09-25";"1648-11-08";"mh";;;;;"10388"
"116";"SR 186";"12v";"Ms";"F3";"38";"Hans Wenzel Freiherr von Kolobrath";"1646-05-25";;"mh";;;;;"10751"
"117";"SR 186";"13r";"Ms";"F3";"39";"Hans Wolff von Hatzfeldt";"1635-05-17";;"mh";;;"Sterbevermerk";;"10576"
"118";"SR 186";"13r";"Ms";"F3";"40";"Ladtfridt von Ulmb Freiherr";"1635-07-08";;"mh";;;;;"10797"
"119";"SR 186";"13r";"Ms";"F3";"41";"Matthias Khevenhiller Graf zu Franckhenburg";"1636-03-16";;"mh";;;"Sterbevermerk";;"10566"
"120";"SR 186";"13r";"Ms";"F3";"42";"Michael Alvernia Marquez de Clavesana";"1639-01-25";;"mh";;;;;"10183"
"121";"SR 186";"13v";"Ms";"F3";"43";"Friderich Caspar Schuhofskhy";"1648-06-08";;"mh";;;;;"10997"
"122";"SR 186";"13v";"Ms";"F3";"44";"Bartlme Graf von Starnberg";"1648-06-24";;"mh";;;;;"10359"
"123";"SR 186";"13v";"Ms";"F3";"45";"N Leippa";"1648-08-02";;"mh";;;;;"10727"
"124";"SR 186";"13v";"Ms";"F3";"46";"Ferdinand Leopoldt Graf von Nachot";"1648-10-10";"1649-01-01";"mh";;;;;"10638"
"126";"SR 186";"14r";"Ms";"F3";"47";"Bartholome de Lassana Paradis";"1648-12-25";;"mh";;;;;"10691"
"127";"SR 186";"14r";"Ms";"F3";"48";"Georg Christian Graf zu Saurau";"1649-02-04";;"mh";;;;;"10639"
"128";"SR 186";"14r";"Ms";"F3";"49";"Hans Friedrich Graf von Herberstein";"1649-02-18";"1649-11-23";"mh";;;;;"10643"
"130";"SR 186";"14r";"Ms";"F3";"50";"Ludwig Graf Rabatta";"1649-04-04";;"mh";;;;;"10434"
"131";"SR 186";"14v";"Ms";"F3";"51";"Ferdinand Victor Teufel Freiherr auf Gundertorf und Essling";"1649-05-29";"1656-04-19";"mh";;;;;"10172"
"133";"SR 186";"14v";"Ms";"F3";"52";"Adam Quintin Freiherr von Herberstain";"1649-12-07";;"mh";;;;;"10648"
"134";"SR 186";"14v";"Ms";"F3";"53";"Ferdinand Ernst Freiherr von Herberstain";"1649-12-20";;"mh";;;;;"10649"
"135";"SR 186";"14v";"Ms";"F3";"54";"Franz Leopold Freiherr von Thürhaimb";"1650-03-15";;"mh";;;;;"10698"
"136";"SR 186";"15r";"Ms";"F3";"55";"Adolph Ehrnreich Graf von Puechheimb";"1650-03-22";;"mh";;;;;"10541"
"137";"SR 186";"15r";"Ms";"F3";"56";"Andreas Graf Lanii";"1650-09-04";;"mh";;;;;"11009"
"138";"SR 186";"15r";"Ms";"F3";"57";"Franciscus Anthoni Graf zu Trauthmanstorff";"1651-03-11";;"mh";;;;;"10156"
"139";"SR 186";"15r";"Ms";"F3";"58";"Hans Christoph Proskobskij Freiherr";"1651-03-29";;"mh";;;;;"10632"
"140";"SR 186";"15v";"Ms";"F3";"59";"Albrecht Maximilian Graf de Fovers";"1651-04-05";"1651-11-11";"mh";;;;;"10552"
"142";"SR 186";"15v";"Ms";"F3";"60";"Adam Graf Weschelini";"1651-04-20";;"mh";;;;;"10723"
"143";"SR 186";"15v";"Ms";"F3";"61";"Valentin Balasi Freiherr";"1651-04-23";"1652-04-07";"mh";;;;;"10206"
"145";"SR 186";"15v";"Ms";"F3";"62";"Georg Günter Freiherr von Herberstein";"1651-04-24";;"mh";;;;;"10664"
"146";"SR 186";"16r";"Ms";"F3";"63";"Hans Bernhard Graf zu Herberstein";"1651-05-27";;"mh";;;;;"10659"
"147";"SR 186";"16r";"Ms";"F3";"64";"Helmbhart Christoph Ungnadt Graf von Weißenwolff";"1651-09-20";;"mh";;;;;"10166"
"148";"SR 186";"16r";"Ms";"F3";"65";"Johann Adam Matthias Graf zu Strasolda";"1652-03-05";;"mh";;;;;"10852"
"149";"SR 186";"16r";"Ms";"F3";"66";"Carl Graf de Careto Millesimo et Grana";"1652-08-11";;"mh";;;;;"10462"
"150";"SR 186";"16v";"Ms";"F3";"67";"Vinzenz Herculani Freiherr";"1652-09-07";;"mh";;;;;"10858"
"151";"SR 186";"16v";"Ms";"F3";"68";"Johann Joachim Graf Schlabatha";"1653-06-19";;"mh";;;;;"10379"
"152";"SR 186";"16v";"Ms";"F3";"69";"Franz Adam Larzanskhy Graf von Puquoe";"1653-07-09";;"mh";;;;;"19579"
"153";"SR 186";"16v";"Ms";"F3";"70";"Hans Albrecht Hann";"1654-03-21";;"mh";;;;;"11002"
"154";"SR 186";"17r";"Ms";"F3";"71";"Gervasius Franciscus Äscher";"1654-10-17";;"mh";;;;;"10549"
"155";"SR 186";"17r";"Ms";"F3";"72";"Nicola Parauvicino di Capeli e Caspon";"1655-01-21";;"mh";;;;;"10828"
"156";"SR 186";"17r";"Ms";"F3";"73";"Joseph Graf von Thurn";"1655-03-23";;"mh";;;;;"12029"
"157";"SR 186";"17r";"Ms";"F3";"74";"Ernst Riettinger Graf von Stahrnberg";"1655-06-07";;"mh";;;;;"10092"
"158";"SR 186";"17v";"Ms";"F3";"75";"Maximilian von Waldstain";"1655-07-20";;"mh";;;;;"10063"
"159";"SR 186";"17v";"Ms";"F3";"76";"Johann Franz Graf von Würmb";"1656-04-19";;"mh";;;;;"10426"
"160";"SR 186";"17v";"Ms";"F3";"77";"Albertus Henricus Maximilian Freiherr von Kolobrath";"1656-05-15";;"mh";;;;;"10745"
"161";"SR 186";"17v";"Ms";"F3";"78";"Michael Graf Rabata";"1656-09-24";;"mh";;;;;"10432"
"162";"SR 186";"18r";"Ms";"F3";"79";"N Graf Thilly";"1656-09-24";;"mh";;;;;"10361"
"163";"SR 186";"18v";"Fs";"F3";"1";"Michael Alvernia Marques de Clavesana";"1637-04-01";"1639-01-25";"mh";;;;;"10183"
"165";"SR 186";"18v";"Fs";"F3";"2";"Christoph Ehrenreich von Schallenberg";"1637-05-16";;"mh";;;;;"11048"
"166";"SR 186";"18v";"Fs";"F3";"3";"Christoph Ernst von Schallenberg Freiherr";"1638-01-06";;"mh";;;;;"11049"
"167";"SR 186";"19r";"Fs";"F3";"4";"Christoph Sigmundt Graf von Thun";"1639-02-07";"1639-06-11";"mh";;;;;"10025"
"169";"SR 186";"19r";"Fs";"F3";"5";"Jarislav von Haasenburg Freiherr";"1639-04-21";"1639-10-01";"mh";;;;;"10140"
"171";"SR 186";"19r";"Fs";"F3";"6";"Francesco de Bonacossi";"1639-04-21";"1639-10-01";"mh";;;;;"10184"
"173";"SR 186";"19r";"Fs";"F3";"7";"Johann Sigmund von Gerstorf";"1639-12-01";"1648-05-25";"mh";;;;;"10486"
"175";"SR 186";"19v";"Fs";"F3";"8";"Scipione de Bonacossi";"1639-12-01";;"mh";;;;;"10456"
"176";"SR 186";"19v";"Fs";"F3";"9";"Georg Stenkho Wratislav von Mitrowiz";"1642-06-20";"1644-12-09";"mh";;;;;"10191"
"178";"SR 186";"19v";"Fs";"F3";"10";"Franz Christoph Hysterl Freiherr von Cadau";"1642-06-20";"1647-08-21";"mh";;;;;"10327"
"180";"SR 186";"19v";"Fs";"F3";"11";"Emmerich Artedi Graf";"1642-12-22";"1643-09-01";"mh";;;;;"10204"
"182";"SR 186";"20r";"Fs";"F3";"12";"Nicola Pasman de Panes";"1644-01-01";;"mh";;;;;"10849"
"183";"SR 186";"20r";"Fs";"F3";"13";"Franz Ernst Hysterl Freiherr von Cadau";"1648-03-09";;"mh";;;;;"10328"
"184";"SR 186";"20r";"Fs";"F3";"14";"Hans Bernhard Löbel";"1648-04-01";;"mh";;;;;"11083"
"185";"SR 186";"20r";"Fs";"F3";"15";"Franz Leopold Freiherr von Therhaimb";"1649-07-15";"1650-03-15";"mh";;;;;"10698"
"187";"SR 186";"20v";"Fs";"F3";"16";"Anthoni Graf Lanthöry";"1650-04-05";;"mh";;;;;"10865"
"188";"SR 186";"20v";"Fs";"F3";"17";"Georg Christoph Proskobsky Freiherr";"1651-03-29";;"mh";;;;;"10633"
"189";"SR 186";"20v";"Fs";"F3";"18";"Gotthardt Graf von Stahrnberg";"1652-11-05";;"mh";;;;;"10382"
"190";"SR 186";"20v";"Fs";"F3";"19";"Gottlob Graf von Kueffstein";"1652-11-29";;"mh";;;;;"12033"
"191";"SR 186";"21r";"Ts";"F3";"1";"Otto Achas Höchenfeldtner von Aysterrhaimb";"1634-05-01";"1636-11-04";"mh";;;;;"10151"
"193";"SR 186";"21r";"Ts";"F3";"2";"Matthias Khuen Graf von Liechtenberg";"1634-09-15";;"mh";;;;;"10417"
"194";"SR 186";"21r";"Ts";"F3";"3";"Balthasar Ferdinand von Hornstein";"1634-10-15";;"mh";;;;;"10811"
"195";"SR 186";"21r";"Ts";"F3";"4";"Ulrich Desidero Zastrizl Freiherr";"1635-06-10";;"mh";;;;;"10546"
"196";"SR 186";"21v";"Ts";"F3";"5";"Allexius Ferdinand Wratislav";"1635-07-08";;"mh";;;;;"10365"
"197";"SR 186";"21v";"Ts";"F3";"6";"Karl Herman Götz Freiherr von Dobrisch";"1635-07-08";;"mh";;;;;"11115"
"198";"SR 186";"21v";"Ts";"F3";"7";"Johann Karl von Wendten";"1635-07-15";;"mh";;;;;"13101"
"199";"SR 186";"21v";"Ts";"F3";"8";"Aloysius Graf von Castilien";"1636-04-15";;"mh";;;;;"13063"
"200";"SR 186";"21v";"Ts";"F3";"9";"Ferdinand Freiherr von Paar";"1636-05-01";;"mh";;;;;"14095"
"201";"SR 186";"22r";"Ts";"F3";"10";"Christoph Erasmus Freiherr von Schallenberg";"1636-10-30";;"mh";;;"abweichender Vorname als Irrtum des Schreibers anzusehen";;"11048"
"202";"SR 186";"22r";"Ts";"F3";"11";"Michael Waywoda Fürst";"1636-12-22";"1639-12-01";"mh";;;;;"10171"
"204";"SR 186";"22r";"Ts";"F3";"12";"Hans Franz Dandaloth";"1637-01-06";;"mh";;;;;"10807"
"205";"SR 186";"22r";"Ts";"F3";"13";"Hans Albrecht Hann";"1637-01-06";"1654-03-21";"mh";;;;;"11002"
"207";"SR 186";"22r";"Ts";"F3";"14";"Hubert von Tschernin Freiherr";"1637-01-21";;"mh";;;;;"10553"
"208";"SR 186";"22v";"Ts";"F3";"15";"Bernhardt von Galler";"1637-03-20";;"mh";;;;;"13107"
"209";"SR 186";"22v";"Ts";"F3";"16";"Adauctus Konorzcoscky";"1637-04-01";;"mh";;;;;"11047"
"210";"SR 186";"22v";"Ts";"F3";"17";"Christoph Ernst von Schallenberg";"1636-11-01";"1638-01-06";"mh";;;;;"11049"
"212";"SR 186";"22v";"Ts";"F3";"18";"Hans Georg Wratislav Freiherr von Mitrowiz";"1637-04-27";;"mh";;;;;"10396"
"213";"SR 186";"23r";"Ts";"F3";"19";"Stanislav Wegierscky";"1637-05-01";;"mh";;;;;"12103"
"214";"SR 186";"23r";"Ts";"F3";"20";"Johann Kamienscky";"1637-05-01";;"mh";;;;;"12104"
"215";"SR 186";"23r";"Ts";"F3";"21";"Alexander Michael Parcecoschy";"1637-05-01";;"mh";;;;;"12105"
"216";"SR 186";"23r";"Ts";"F3";"22";"Johann Dominico Albano";"1637-04-29";;"mh";;;;;"10935"
"217";"SR 186";"23v";"Ts";"F3";"23";"Ladislav Guilaffi de Radoth Freiherr";"1637-07-23";;"mh";;;;;"10928"
"218";"SR 186";"23v";"Ts";"F3";"24";"Stephan Zichy";"1637-10-06";;"mh";;;;;"12107"
"219";"SR 186";"23v";"Ts";"F3";"25";"Ferdinand von Zetliz";"1637-10-16";;"mh";;;;;"11124"
"220";"SR 186";"23v";"Ts";"F3";"26";"Sigmund Christoph Graf von Thun";"1638-06-15";"1639-02-07";"mh";;;;;"10025"
"222";"SR 186";"24r";"Ts";"F3";"27";"Adauctus Wenzel Bogowanzchy";"1638-06-05";;"mh";;;;;"11046"
"223";"SR 186";"24r";"Ts";"F3";"28";"Wenzl Heinrich Haubiz";"1638-06-15";;"mh";;;;;"10693"
"224";"SR 186";"24r";"Ts";"F3";"29";"Hans Jakob von Paar Freiherr";"1638-12-29";;"mh";;;;;"14094"
"225";"SR 186";"24r";"Ts";"F3";"30";"Hermann Heinrich von Derenpach";"1639-01-04";;"mh";;;;;"19449"
"226";"SR 186";"24v";"Ts";"F3";"31";"Stephan Guilaffo";"1639-01-28";;"mh";;;;;"10929"
"227";"SR 186";"24v";"Ts";"F3";"32";"Johann Sigmund von Gerstorff";"1639-04-21";"1639-12-01";"mh";;;;;"10486"
"229";"SR 186";"24v";"Ts";"F3";"33";"Johann Baptisto Graf von Careto Millessimo e Grana";"1639-11-01";;"mh";;;;;"10461"
"230";"SR 186";"24v";"Ts";"F3";"34";"Johann Ludwig Freiherr von Stahrnberg";"1640-10-15";;"mh";;;;;"10381"
"231";"SR 186";"25r";"Ts";"F3";"35";"Georg Stenkho Wratislaw von Mitrowiz";"1640-11-01";"1642-06-20";"mh";;;;;"10191"
"233";"SR 186";"25r";"Ts";"F3";"36";"Jakob Ernst von Egg Freiherr";"1641-01-18";;"mh";;;;;"11524"
"234";"SR 186";"25r";"Ts";"F3";"37";"Franz Christoph Hysterl von Cadau";"1641-01-18";"1642-06-20";"mh";;;;;"10327"
"236";"SR 186";"25r";"Ts";"F3";"38";"Hans Victor Graf von Waldtstain";"1641-02-10";;"mh";;;;;"10065"
"237";"SR 186";"25v";"Ts";"F3";"39";"Hans Sebastian von Hallweil";"1641-03-18";"1643-12-03";"mh";;;;;"19840"
"239";"SR 186";"25v";"Ts";"F3";"40";"Franciscus Graf von Nagrol";"1641-12-09";;"mh";;;;;"10545"
"240";"SR 186";"25v";"Ts";"F3";"41";"Vladislav de Lucona Lukoscky";"1642-05-01";;"mh";;;;;"12106"
"241";"SR 186";"25v";"Ts";"F3";"42";"Leopoldt Franz Harandt Freiherr von Polschüz";"1642-04-08";;"mh";;;;;"13034"
"242";"SR 186";"25v";"Ts";"F3";"43";"Adam Quintin Freiherr vom Hermbenstein";"1642-10-06";"1649-12-07";"mh";;;;;"10648"
"244";"SR 186";"26r";"Ts";"F3";"44";"Ferdinandt von Wrecoviz";"1642-11-18";;"mh";;;;;"12108"
"245";"SR 186";"26r";"Ts";"F3";"45";"Christoph Wilhelmb von Arzt";"1643-05-06";;"mh";;;;;"14071"
"246";"SR 186";"26r";"Ts";"F3";"46";"Philipp Heinrich von Suckhingen";"1643-06-16";;"mh";;;;;"15476"
"247";"SR 186";"26r";"Ts";"F3";"47";"Franz Horetzkhy Freiherr von Hockha";"1643-12-01";;"mh";;;;;"12123"
"248";"SR 186";"26r";"Ts";"F3";"48";"Andreas von Kuzpach";"1644-03-01";;"mh";;;;;"17619"
"249";"SR 186";"26v";"Ts";"F3";"49";"Ludwig Friedrich Schiffer";"1644-04-05";;"mh";;;;;"11503"
"250";"SR 186";"26v";"Ts";"F3";"50";"Claudio Caspar de Montby";"1645-07-12";;"mh";;;;;"10939"
"251";"SR 186";"26v";"Ts";"F3";"51";"Peter Külner von Klötn";"1645-08-10";;"mh";;;;;"11343"
"252";"SR 186";"26v";"Ts";"F3";"52";"Bartholome Graf von Stahrnberg";"1645-10-15";"1648-06-24";"mh";;;;;"10359"
"254";"SR 186";"26v";"Ts";"F3";"53";"Johann Wenzel Freiherr von Kolobrath";"1646-10-26";;"mh";;;;;"10751"
"255";"SR 186";"27r";"Ts";"F3";"54";"Daniel Reacay de Reva Freiherr";"1646-12-10";;"mh";;;;;"10536"
